date,Country,App,device,downloads,active_users,total_sessions,total_minutes,usage_penetration,open_rate,mb_per_user,mb_per_session
2019-03-25,B,X,ios,1544,23116,,,0.8064,11.3726,,
2019-03-25,B,Z,ios,4451,52758,,,1.8405,27.6863,,
2019-04-01,A,Y,ios,5704,58864,,,0.7833,7.1407,,
2019-04-01,A,X,ios,2141,25237,,,0.3358,5.3947,,
2019-04-01,B,Y,ios,2449,19246,,,0.6703,4.6445,,
2019-04-01,B,X,ios,2125,19985,,,0.696,9.6872,,
2019-04-01,B,Z,ios,5904,53549,,,1.865,27.2329,,
2019-04-08,A,Y,ios,5540,62154,,,0.827,7.4337,,
2019-04-08,A,X,ios,2181,24324,,,0.3237,5.3251,,
2019-04-08,B,Y,ios,1890,23625,,,0.8228,5.5441,,
2019-04-08,B,X,ios,1464,20425,,,0.7114,10.599,,
2019-04-08,B,Z,ios,4481,51588,,,1.7967,27.5365,,
2019-04-15,A,Y,ios,6304,59878,,,0.7968,7.0133,,
2019-04-15,A,X,ios,3809,25104,,,0.334,5.4909,,
2019-04-15,B,Y,ios,2579,22240,,,0.7746,5.1892,,
2019-04-15,B,X,ios,1600,23794,,,0.8287,12.1795,,
2019-04-15,B,Z,ios,4603,56422,,,1.9651,29.4533,,
2019-04-22,A,Y,ios,5483,58624,,,0.7801,6.819,,
2019-04-22,A,X,ios,2982,27793,,,0.3698,6.1051,,
2019-04-22,B,Y,ios,2621,27527,,,0.9587,6.458,,
2019-04-22,B,X,ios,1523,25155,,,0.8761,13.4877,,
2019-04-22,B,Z,ios,4109,54181,,,1.887,28.4506,,
2019-04-29,A,Y,ios,4738,57365,,,0.7631,6.6728,,
2019-04-29,A,X,ios,2344,24129,,,0.321,5.2313,,
2019-04-29,B,Y,ios,2385,24944,,,0.8674,5.8504,,
2019-04-29,B,X,ios,1688,26079,,,0.9068,13.4662,,
2019-04-29,B,Z,ios,5194,51926,,,1.8056,26.4356,,
2019-05-06,A,Y,ios,5087,60651,,,0.8068,6.9797,,
2019-05-06,A,X,ios,2873,32338,,,0.4302,6.8921,,
2019-05-06,B,Y,ios,2751,26724,,,0.9293,6.3176,,
2019-05-06,B,X,ios,2075,25748,,,0.8953,13.2928,,
2019-05-06,B,Z,ios,6200,55204,,,1.9196,27.5021,,
2019-05-13,A,Y,ios,5541,52992,,,0.7049,6.0667,,
2019-05-13,A,X,ios,2427,26734,,,0.3556,5.6942,,
2019-05-13,B,Y,ios,2115,22314,,,0.7759,5.2642,,
2019-05-13,B,X,ios,1946,24148,,,0.8397,12.4408,,
2019-05-13,B,Z,ios,4809,51101,,,1.7769,25.4161,,
2019-05-20,A,Y,ios,6353,59555,,,0.7922,6.8064,,
2019-05-20,A,X,ios,2428,23092,,,0.3072,4.9111,,
2019-05-20,B,Y,ios,2649,22902,,,0.7964,5.3912,,
2019-05-20,B,X,ios,3471,32495,,,1.1299,16.4184,,
2019-05-20,B,Z,ios,5569,58801,,,2.0447,28.7321,,
2019-05-27,A,Y,ios,6834,58316,,,0.7755,6.5811,,
2019-05-27,A,X,ios,2621,25881,,,0.3442,5.5579,,
2019-05-27,B,Y,ios,2662,22317,,,0.7748,5.2529,,
2019-05-27,B,X,ios,3199,30123,,,1.0458,15.1714,,
2019-05-27,B,Z,ios,5134,56059,,,1.9463,27.3511,,
2019-06-03,A,Y,ios,12254,71487,321350,805583,1.0027,7.7187,,
2019-06-03,A,X,ios,3034,32691,154342,234905,0.4586,6.6695,,
2019-06-03,B,Y,ios,3145,24337,89798,158123,1.1281,5.6266,,
2019-06-03,B,X,ios,3072,26730,141250,430027,1.239,13.7724,,
2019-06-03,B,Z,ios,5701,45095,194611,464225,2.0903,22.8972,,
2019-06-10,A,Y,ios,8468,68038,326942,563663,0.9543,6.3902,,
2019-06-10,A,X,ios,3562,40526,224643,452082,0.5685,7.8897,,
2019-06-10,B,Y,ios,2947,18698,47577,71320,0.8667,4.3616,,
2019-06-10,B,X,ios,3165,23131,110103,332718,1.0722,12.027,,
2019-06-10,B,Z,ios,4834,41354,189859,385740,1.9169,21.1533,,
2019-06-17,A,Y,ios,9252,81050,431563,1125731,1.1369,7.9709,,
2019-06-17,A,X,ios,4046,54773,246749,205996,0.7683,9.9264,,
2019-06-17,B,Y,ios,2786,18930,51753,64471,0.8775,4.7348,,
2019-06-17,B,X,ios,3440,24402,113142,280393,1.1311,13.0629,,
2019-06-17,B,Z,ios,4950,46341,239385,563648,2.148,23.7183,,
2019-06-24,A,Y,ios,7818,79062,422169,1046165,1.109,7.5053,,
2019-06-24,A,X,ios,3641,36582,178939,253934,0.5131,7.035,,
2019-06-24,B,Y,ios,2693,18215,51079,92433,0.8443,4.4322,,
2019-06-24,B,X,ios,3117,24111,99534,246006,1.1176,12.8622,,
2019-06-24,B,Z,ios,4915,43708,197983,579536,2.026,22.4505,,
2019-07-01,A,Y,ios,9627,51093,339706,865152,0.7134,5.4591,,
2019-07-01,A,X,ios,6101,41119,215968,405085,0.5742,7.6529,,
2019-07-01,B,Y,ios,3662,20809,70709,99831,0.9621,4.3353,,
2019-07-01,B,X,ios,4139,22045,101842,254644,1.0192,11.3423,,
2019-07-01,B,Z,ios,5464,42573,217609,516355,1.9683,22.0469,,
2019-07-08,A,Y,ios,8295,42310,274883,831642,0.5908,4.3773,,
2019-07-08,A,X,ios,6005,48389,232041,275302,0.6757,8.842,,
2019-07-08,B,Y,ios,2776,15705,38572,71821,0.7261,3.3896,,
2019-07-08,B,X,ios,3773,26679,120164,320602,1.2335,13.2508,,
2019-07-08,B,Z,ios,4850,37720,157596,264965,1.744,19.5231,,
2019-07-15,A,Y,ios,10731,97032,504258,1387797,1.3549,7.8911,,
2019-07-15,A,X,ios,13426,54242,249508,306086,0.7574,9.5404,,
2019-07-15,B,Y,ios,3134,17126,48599,49434,0.7918,3.9743,,
2019-07-15,B,X,ios,4410,25479,117697,351519,1.178,12.7971,,
2019-07-15,B,Z,ios,5254,39105,181410,327066,1.808,19.9679,,
2019-07-22,A,Y,ios,11946,81557,438666,864946,1.1388,7.1834,,
2019-07-22,A,X,ios,9257,45989,226406,445017,0.6422,8.2181,,
2019-07-22,B,Y,ios,2006,10639,34770,63117,0.4919,2.6193,,
2019-07-22,B,X,ios,3651,20706,99824,326434,0.9573,10.7753,,
2019-07-22,B,Z,ios,4721,37175,188164,376928,1.7187,19.0531,,
2019-07-29,A,Y,ios,11726,78879,431069,846625,1.0933,6.9934,,
2019-07-29,A,X,ios,8965,56176,298351,503483,0.7786,9.6125,,
2019-07-29,B,Y,ios,2074,15787,51046,118437,0.7267,3.5438,,
2019-07-29,B,X,ios,4288,24763,130928,408919,1.1398,12.4006,,
2019-07-29,B,Z,ios,4998,39815,215940,440821,1.8326,20.1205,,
2019-08-05,A,Y,ios,13054,82613,428618,1298558,1.1451,7.2557,,
2019-08-05,A,X,ios,8364,66089,281678,535113,0.9161,10.9233,,
2019-08-05,B,Y,ios,2929,15952,52778,96998,0.7342,3.5733,,
2019-08-05,B,X,ios,4680,28069,121526,405624,1.292,13.6907,,
2019-08-05,B,Z,ios,5131,39870,180786,341164,1.8351,20.1426,,
2019-08-12,A,Y,ios,16887,83106,410479,782944,1.1519,7.2904,,
2019-08-12,A,X,ios,28409,160458,768321,1288062,2.2241,20.6293,,
2019-08-12,B,Y,ios,3729,17339,70750,129940,0.7981,3.8176,,
2019-08-12,B,X,ios,5531,26338,136478,450860,1.2123,13.0068,,
2019-08-12,B,Z,ios,5595,41522,189860,350654,1.9112,20.8048,,
2019-08-19,A,Y,ios,15409,123334,866405,2128294,1.7095,9.8643,,
2019-08-19,A,X,ios,16345,128232,633685,1128941,1.7774,17.176,,
2019-08-19,B,Y,ios,3659,20096,79809,177100,0.925,4.2883,,
2019-08-19,B,X,ios,5038,34067,156593,590220,1.568,15.8908,,
2019-08-19,B,Z,ios,5133,41337,165861,305980,1.9027,20.7305,,
2019-08-26,A,Y,ios,10976,107921,705746,1523637,1.4778,9.2096,,
2019-08-26,A,X,ios,10381,103120,638828,1280799,1.4121,13.6092,,
2019-08-26,B,Y,ios,4740,24059,87771,188582,1.1033,5.3554,,
2019-08-26,B,X,ios,5537,30752,163831,568273,1.4103,14.8609,,
2019-08-26,B,Z,ios,5204,39596,177518,351238,1.8159,20.1562,,
2019-09-02,A,Y,ios,11536,123901,766879,1462174,1.6966,10.5662,,
2019-09-02,A,X,ios,11123,78598,428937,970085,1.0763,10.9769,,
2019-09-02,B,Y,ios,5572,25176,84563,267227,1.1546,5.4728,,
2019-09-02,B,X,ios,5130,32486,198852,781340,1.4898,15.5929,,
2019-09-02,B,Z,ios,4298,35163,187237,388604,1.6126,18.3427,,
2019-09-09,A,Y,ios,11371,122420,766351,1439549,1.6763,9.0763,,
2019-09-09,A,X,ios,10415,103871,659212,1866380,1.4223,13.7394,,
2019-09-09,B,Y,ios,3916,20457,55137,61565,0.9382,4.6672,,
2019-09-09,B,X,ios,4252,29645,158342,460948,1.3595,14.191,,
2019-09-09,B,Z,ios,3543,34172,176817,361082,1.5671,17.3518,,
2019-09-16,A,Y,ios,12155,112940,707011,1328083,1.5465,8.8539,,
2019-09-16,A,X,ios,9824,66044,419147,1186701,0.9044,9.1581,,
2019-09-16,B,Y,ios,3327,17690,47680,53238,0.8113,4.0469,,
2019-09-16,B,X,ios,3938,31299,167181,486680,1.4354,13.7953,,
2019-09-16,B,Z,ios,3304,33372,172677,352628,1.5304,16.2862,,
2019-09-23,A,Y,ios,11194,75330,415220,628684,1.0315,6.3919,,
2019-09-23,A,X,ios,9389,80319,488813,1009793,1.0998,11.0195,,
2019-09-23,B,Y,ios,2676,20912,67660,197700,0.959,4.7895,,
2019-09-23,B,X,ios,5354,40277,199012,594566,1.8471,17.3382,,
2019-09-23,B,Z,ios,4057,35846,150483,300376,1.6439,17.853,,
2019-09-30,A,Y,ios,16736,115803,716751,1340892,1.5681,9.0488,,
2019-09-30,A,X,ios,10390,101866,445356,718467,1.3794,13.0547,,
2019-09-30,B,Y,ios,4162,22341,81729,174017,1.0202,5.2363,,
2019-09-30,B,X,ios,4415,34031,158183,428528,1.5541,15.3349,,
2019-09-30,B,Z,ios,4336,39758,192745,331697,1.8156,19.9625,,
2019-10-07,A,Y,ios,14820,117752,671628,1458109,1.5945,9.524,,
2019-10-07,A,X,ios,11170,90137,438059,837809,1.2206,11.8742,,
2019-10-07,B,Y,ios,4153,17548,56799,93705,0.8014,4.1549,,
2019-10-07,B,X,ios,4316,27456,128259,451808,1.2538,12.8554,,
2019-10-07,B,Z,ios,3810,31800,167278,342617,1.4522,16.5775,,
2019-10-14,A,Y,ios,16323,135269,661374,1149737,1.8317,10.0427,,
2019-10-14,A,X,ios,10102,73651,288926,502991,0.9973,10.0296,,
2019-10-14,B,Y,ios,4195,23732,75231,113520,1.0838,4.7604,,
2019-10-14,B,X,ios,4951,33464,150410,519789,1.5282,14.1838,,
2019-10-14,B,Z,ios,4232,38961,165974,301479,1.7792,19.3551,,
2019-10-21,A,Y,ios,22511,154270,781690,1331334,2.089,11.8215,,
2019-10-21,A,X,ios,9369,83115,405244,792908,1.1255,10.8414,,
2019-10-21,B,Y,ios,3532,19183,73176,116357,0.876,4.1938,,
2019-10-21,B,X,ios,4133,30089,136493,414772,1.3741,13.3694,,
2019-10-21,B,Z,ios,3823,30899,136526,198264,1.4111,16.0008,,
2019-10-28,A,Y,ios,27019,140447,842019,1801705,1.8823,11.0652,,
2019-10-28,A,X,ios,9302,77442,323140,578689,1.0379,10.2027,,
2019-10-28,B,Y,ios,3138,17682,63651,97618,0.8018,3.978,,
2019-10-28,B,X,ios,4170,30419,124674,382611,1.3793,13.2102,,
2019-10-28,B,Z,ios,3829,29580,122677,163471,1.3413,15.1775,,
2019-11-04,A,Y,ios,26631,149712,870849,1854796,2.0064,11.2391,,
2019-11-04,A,X,ios,9214,112835,465414,740294,1.5122,13.9847,,
2019-11-04,B,Y,ios,2813,20452,65384,90671,0.9274,4.3254,,
2019-11-04,B,X,ios,4074,31444,129426,346956,1.4258,13.6561,,
2019-11-04,B,Z,ios,3825,37310,183172,338041,1.6917,18.1993,,
2019-11-11,A,Y,ios,25904,122258,692114,1119602,1.6385,9.5873,,
2019-11-11,A,X,ios,12565,100530,343097,542989,1.3473,12.7598,,
2019-11-11,B,Y,ios,3470,20815,69637,150052,0.9438,4.4803,,
2019-11-11,B,X,ios,4572,35296,135825,350946,1.6004,14.9666,,
2019-11-11,B,Z,ios,4270,41872,200417,357231,1.8986,20.4742,,
2019-11-18,A,Y,ios,33931,169455,930626,1562674,2.271,11.9938,,
2019-11-18,A,X,ios,12028,85337,391461,682302,1.1437,11.3296,,
2019-11-18,B,Y,ios,4066,26713,83866,105771,1.2112,5.7716,,
2019-11-18,B,X,ios,4845,35488,158453,442404,1.6091,15.2369,,
2019-11-18,B,Z,ios,4831,41442,183100,291210,1.8791,19.9994,,
2019-11-25,A,Y,ios,22687,168231,1166459,2464542,2.2398,11.8968,,
2019-11-25,A,X,ios,10031,59588,277084,602764,0.7934,7.9739,,
2019-11-25,B,Y,ios,3586,19883,75225,113261,0.894,4.3536,,
2019-11-25,B,X,ios,7365,40063,140667,486463,1.8012,16.9497,,
2019-11-25,B,Z,ios,5815,47506,194647,318894,2.1359,22.9062,,
2019-12-02,A,Y,ios,17417,89932,465718,815731,1.1974,7.0771,,
2019-12-02,A,X,ios,11277,106277,502402,1000732,1.415,12.7236,,
2019-12-02,B,Y,ios,3168,14339,67653,145585,0.6447,3.2286,,
2019-12-02,B,X,ios,6975,36889,147167,483406,1.6586,15.729,,
2019-12-02,B,Z,ios,5652,34828,189414,347920,1.5659,17.1573,,
2019-12-09,A,Y,ios,16268,129082,781732,1530924,1.7186,9.1365,,
2019-12-09,A,X,ios,13509,82932,388841,809911,1.1042,10.533,,
2019-12-09,B,Y,ios,2875,17111,72735,135601,0.7693,3.3292,,
2019-12-09,B,X,ios,7512,38476,144296,485698,1.7299,15.9735,,
2019-12-09,B,Z,ios,5416,41167,196281,343792,1.8509,19.9155,,
2019-12-16,A,Y,ios,17260,109507,615136,1146025,1.458,7.6549,,
2019-12-16,A,X,ios,12242,94604,445396,907362,1.2596,11.4989,,
2019-12-16,B,Y,ios,2805,15725,70518,142138,0.707,3.2974,,
2019-12-16,B,X,ios,7729,37682,145827,484743,1.6942,15.8161,,
2019-12-16,B,Z,ios,5075,37998,193910,348452,1.7084,18.5777,,
2019-12-23,A,Y,ios,19339,115596,647390,1250762,1.5391,8.6082,,
2019-12-23,A,X,ios,14470,131155,650167,1230822,1.7462,14.6219,,
2019-12-23,B,Y,ios,3260,22819,86079,216494,1.026,4.4977,,
2019-12-23,B,X,ios,9909,52546,251267,863012,2.3625,20.198,,
2019-12-23,B,Z,ios,6800,49598,238050,482093,2.23,20.9087,,
2019-12-30,A,Y,ios,20712,124473,737315,1702728,1.6455,8.8675,,
2019-12-30,A,X,ios,13773,129545,561792,889682,1.7126,14.1315,,
2019-12-30,B,Y,ios,3770,19913,71972,130711,0.8837,4.0543,,
2019-12-30,B,X,ios,8158,45180,194360,557961,2.005,18.0241,,
2019-12-30,B,Z,ios,5700,43147,213154,449514,1.9148,19.2332,,
2020-01-06,A,Y,ios,22604,130390,731389,1648832,1.7237,8.8623,,
2020-01-06,A,X,ios,14118,128517,524584,879580,1.699,13.9491,,
2020-01-06,B,Y,ios,3008,15569,47859,72053,0.6909,3.3454,,
2020-01-06,B,X,ios,6943,35582,151160,565127,1.5791,14.4622,,
2020-01-06,B,Z,ios,5012,34599,147073,271324,1.5354,16.0697,,
2020-01-13,A,Y,ios,23766,139913,788074,1499930,1.8496,9.938,,
2020-01-13,A,X,ios,22480,156949,796446,1618984,2.0749,17.1937,,
2020-01-13,A,Z,ios,3125,19375,143193,144683,0.2561,18.9067,,
2020-01-13,B,Y,ios,2718,15696,51998,102939,0.6966,3.422,,
2020-01-13,B,X,ios,5313,32853,123434,410294,1.4579,13.3694,,
2020-01-13,B,Z,ios,4278,38936,159008,305912,1.7279,17.3818,,
2020-01-20,A,Y,ios,21951,182746,990290,1773752,2.4159,11.6596,,
2020-01-20,A,X,ios,20594,175471,998438,2276204,2.3197,18.4908,,
2020-01-20,A,Z,ios,2981,18661,214002,566186,0.2467,18.3453,,
2020-01-20,B,Y,ios,2810,17244,71370,203038,0.7652,3.4653,,
2020-01-20,B,X,ios,5234,33256,113076,277255,1.4758,13.7846,,
2020-01-20,B,Z,ios,3914,33017,133539,243177,1.4653,14.527,,
2020-01-27,A,Y,ios,21949,192490,1082291,2014602,2.536,12.1154,,
2020-01-27,A,X,ios,16819,173927,1033768,2248708,2.2915,17.5082,,
2020-01-27,A,Z,ios,2479,27045,255096,531550,0.3563,24.3955,,
2020-01-27,B,Y,ios,2411,15369,75363,177996,0.6749,3.1878,,
2020-01-27,B,X,ios,7389,40020,148440,485934,1.7574,16.1055,,
2020-01-27,B,Z,ios,4333,32535,154414,296023,1.4287,14.5556,,
2020-02-03,A,Y,ios,21965,118562,699726,1194293,1.562,8.207,,
2020-02-03,A,X,ios,11881,95076,387256,520748,1.2526,10.7123,,
2020-02-03,A,Z,ios,1344,9049,81247,176832,0.1192,9.4155,,
2020-02-03,B,Y,ios,3008,18688,89014,225690,0.8206,3.9086,,
2020-02-03,B,X,ios,11404,58555,204326,546318,2.5714,22.1471,,
2020-02-03,B,Z,ios,5148,43384,212982,406665,1.9051,18.5089,,
2020-02-10,A,Y,ios,28363,161284,1002959,1942786,2.1249,10.2793,,
2020-02-10,A,X,ios,11410,127442,577894,1000132,1.679,12.3204,,
2020-02-10,A,Z,ios,1994,14151,136354,274772,0.1864,13.2321,,
2020-02-10,B,Y,ios,3957,18346,76681,154799,0.8056,3.7053,,
2020-02-10,B,X,ios,14601,62940,288457,977984,2.7639,22.8198,,
2020-02-10,B,Z,ios,5188,43854,196059,381713,1.9258,18.6371,,
2020-02-17,A,Y,ios,31314,153720,979860,2008548,2.0253,9.9022,,
2020-02-17,A,X,ios,14390,107535,543230,1059566,1.4168,11.0554,,
2020-02-17,A,Z,ios,2178,20956,118398,129103,0.2761,17.8759,,
2020-02-17,B,Y,ios,4008,21836,92217,193251,0.9589,4.3774,,
2020-02-17,B,X,ios,9242,56513,205335,591600,2.4817,21.0948,,
2020-02-17,B,Z,ios,5645,41299,191667,285490,1.8136,17.8694,,
2020-02-24,A,Y,ios,32991,142180,877722,1522067,1.8767,9.4835,,
2020-02-24,A,X,ios,19222,130063,740674,1392777,1.7167,12.841,,
2020-02-24,A,Z,ios,2315,13524,113278,226879,0.1785,12.4172,,
2020-02-24,B,Y,ios,2738,15595,87934,177826,0.6764,3.0396,,
2020-02-24,B,X,ios,29474,90599,380235,1247476,3.9294,28.9562,,
2020-02-24,B,Z,ios,4289,31238,126011,203743,1.3548,14.2189,,
2020-03-02,A,Y,ios,48078,213585,1363169,2792403,2.8192,13.2791,,
2020-03-02,A,X,ios,24705,179627,885785,1517152,2.3709,16.8328,,
2020-03-02,A,Z,ios,2460,17436,140650,159141,0.2301,15.1331,,
2020-03-02,B,Y,ios,3135,18153,94195,142929,0.7873,3.8233,,
2020-03-02,B,X,ios,8866,53491,205595,509590,2.3199,18.7229,,
2020-03-02,B,Z,ios,5164,39744,190238,336908,1.7238,16.5676,,
2020-03-09,A,Y,ios,45787,204848,1205471,2391486,2.7038,12.7785,,
2020-03-09,A,X,ios,24140,190087,875279,1788925,2.509,17.3114,,
2020-03-09,A,Z,ios,2103,16807,85677,59664,0.2218,14.6936,,
2020-03-09,B,Y,ios,2705,19081,109217,242550,0.8276,3.5557,,
2020-03-09,B,X,ios,10241,50639,207643,756053,2.1962,17.6899,,
2020-03-09,B,Z,ios,5079,40768,178147,337665,1.7682,17.8109,,
2020-03-16,A,Y,ios,55302,254645,1555784,3435946,3.3611,14.4094,,
2020-03-16,A,X,ios,17830,148458,621281,1244146,1.9595,13.7681,,
2020-03-16,A,Z,ios,2234,15740,128624,224804,0.2078,13.9377,,
2020-03-16,B,Y,ios,2733,14236,130134,232405,0.6174,2.8037,,
2020-03-16,B,X,ios,10197,50197,208833,612898,2.1771,17.5817,,
2020-03-16,B,Z,ios,5108,36508,169980,340354,1.5834,15.9273,,
2020-03-23,A,Y,ios,36953,188713,1161119,2326743,2.4909,11.6216,,
2020-03-23,A,X,ios,20250,177486,915429,2347670,2.3427,15.9535,,
2020-03-23,A,Z,ios,2430,17482,70591,95297,0.2308,15.145,,
2020-03-23,B,Y,ios,2364,16842,82865,167840,0.7304,3.0204,,
2020-03-23,B,X,ios,10523,55969,241215,724745,2.4275,19.7429,,
2020-03-23,B,Z,ios,4907,37500,157708,282231,1.6264,16.4839,,
2020-03-30,A,Y,ios,28511,146190,835230,1626587,1.9315,9.4216,,
2020-03-30,A,X,ios,16059,100354,477890,1017776,1.3259,9.9466,,
2020-03-30,A,Z,ios,2540,20117,94329,69321,0.2658,16.9178,,
2020-03-30,B,Y,ios,2397,19340,99127,246852,0.832,3.6126,,
2020-03-30,B,X,ios,10194,63291,277841,942376,2.723,20.5921,,
2020-03-30,B,Z,ios,4908,40845,182524,381288,1.7573,17.2972,,
2020-04-06,A,Y,ios,23898,201835,1223650,2439956,2.6668,11.4526,,
2020-04-06,A,X,ios,15738,159779,682225,1090248,2.1111,13.612,,
2020-04-06,A,Z,ios,2443,16974,103041,95590,0.2243,14.735,,
2020-04-06,B,Y,ios,2452,19113,104887,259026,0.8223,3.6611,,
2020-04-06,B,X,ios,10357,57523,248915,886371,2.4748,19.146,,
2020-04-06,B,Z,ios,4980,39021,155121,265751,1.6788,16.58,,
2020-04-13,A,Y,ios,39752,244843,1517615,2849884,3.235,13.8943,,
2020-04-13,A,X,ios,18986,152717,773609,1577476,2.0178,13.6247,,
2020-04-13,A,Z,ios,2735,12388,88233,154468,0.1637,11.3685,,
2020-04-13,B,Y,ios,2905,20645,81290,172546,0.8882,4.0217,,
2020-04-13,B,X,ios,9990,61896,245734,684129,2.6629,20.7178,,
2020-04-13,B,Z,ios,6179,45751,215880,373153,1.9683,19.3997,,
2020-04-20,A,Y,ios,36675,247183,1449530,2650495,3.2659,14.0492,,
2020-04-20,A,X,ios,28159,186776,850672,1666434,2.4678,15.7491,,
2020-04-20,A,Z,ios,4965,27061,209934,270070,0.3575,20.0771,,
2020-04-20,B,Y,ios,3016,17975,108094,224635,0.7733,3.5207,,
2020-04-20,B,X,ios,15610,77115,312418,949890,3.3177,24.469,,
2020-04-20,B,Z,ios,5844,50584,237767,446798,2.1762,21.2356,,
2020-04-27,A,Y,ios,57372,328035,2187740,4721120,4.343,17.9779,,
2020-04-27,A,X,ios,61957,280273,1359943,2751675,3.7106,22.3031,,
2020-04-27,A,Z,ios,9037,48670,256690,218295,0.6444,31.1365,,
2020-04-27,B,Y,ios,2994,20039,83953,133622,0.8585,3.742,,
2020-04-27,B,X,ios,18488,77836,340587,965048,3.3346,24.4552,,
2020-04-27,B,Z,ios,5891,48431,222228,413258,2.0748,19.359,,
2020-05-04,A,Y,ios,39716,311894,1850312,3334425,4.1293,16.5594,,
2020-05-04,A,X,ios,55774,277045,1414860,2980171,3.6679,21.7361,,
2020-05-04,A,Z,ios,3850,31450,182599,195050,0.4164,21.6526,,
2020-05-04,B,Y,ios,2840,19222,116397,249603,0.8235,3.5183,,
